title,releaseDate,productionCompany
Phantom of the Opera,1943-08-12,Universal Pictures
Saludos Amigos,1942-08-24,Walt Disney Productions
Stage Door Canteen,1943-05-12,Principal Artists Productions
Thousands Cheer,1943-09-13,Metro-Goldwyn-Mayer
Cabin in the Sky,1943-04-09,Metro-Goldwyn-Mayer
Hers to Hold,1943-07-16,Universal Pictures
Thank Your Lucky Stars,1943-09-25,Warner Bros.
This Land Is Mine,1943-05-07,Jean-Renoir-Dudly Nichols Productions
So This Is Washington,1943-08-17,Jack Wm. Votion Productions
Mission to Moscow,1943-05-22,Warner Bros.
Corvette K-225,1943-09-29,Universal Pictures
Crash Dive,1943-04-28,20th Century Fox
Stand By for Action,1942-12-31,Metro-Goldwyn-Mayer
Double Indemnity,1944-07-03,Paramount Pictures
Gaslight,1944-05-04,Metro-Goldwyn-Mayer
Since You Went Away,1944-07-20,Selznick International Pictures Vanguard Films
Lifeboat,1944-01-28,20th Century Fox
Mrs. Parkington,1944-10-12,Metro-Goldwyn-Mayer
The Seventh Cross,1944-07-24,Metro-Goldwyn-Mayer
Dragon Seed,1944-07-20,Metro-Goldwyn-Mayer
"Wing and a Prayer, The Story of Carrier X",1944-07-24,Twentieth Century-Fox Film Corp.
Meet Me in St. Louis,1944-11-22,Metro-Goldwyn-Mayer
A Guy Named Joe,1943-12-23,Metro-Goldwyn-Mayer
None Shall Escape,1944-02-03,Columbia Pictures
The Fighting Lady,1944-12-21,United States Navy
Resisting Enemy Interrogation,1999-09-19,United States Army Air Forces First Motion Picture Unit
With the Marines at Tarawa,1944-03-02,United States Marine Corps
Jammin' the Blues,1944-11-09,Warner Bros.
Mouse Trouble,1944-11-23,MGM Cartoons
Fish Fry,1944-06-19,Walter Lantz Productions
How to Play Football,1944-09-15,Walt Disney Productions
Swooner Crooner,1944-05-06,Leon Schlesinger Productions
Address Unknown,1944-06-01,Columbia Pictures
The Adventures of Mark Twain,1944-05-06,Warner Bros.
The Bridge of San Luis Rey,1944-02-11,Benedict Bogeaus Productions
Casanova Brown,1944-08-05,International Pictures Christie Corporation Nunnally Johnson Productions
Christmas Holiday,1944-07-31,Universal Pictures
The Fighting Seabees,1944-01-27,Republic Pictures
The Hairy Ape,1944-07-02,Mayfair Productions Inc.
It Happened Tomorrow,1944-03-27,Arnold Pressburger Films
Jack London,1943-12-24,Samuel Bronston Productions
Kismet,1944-08-22,Metro-Goldwyn-Mayer
The Princess and the Pirate,1944-11-17,Samuel Goldwyn Productions
Summer Storm,1944-07-14,Angelus Pictures Angelus Productions Nero Films
Up in Mabel's Room,1944-04-07,Edward Small Productions
Voice in the Wind,1944-03-03,Ripley/Monter Productions
The Woman of the Town,1943-12-31,Harry Sherman Productions
Cover Girl,1944-03-20,Columbia Pictures
Brazil,1944-11-30,Republic Pictures
Hollywood Canteen,1944-12-15,Warner Bros.
Knickerbocker Holiday,1944-03-17,Producers Corporation of America
The Merry Monahans,1944-09-15,Universal Pictures
Up in Arms,1944-02-17,Samuel Goldwyn Productions
Follow the Boys,1944-04-25,Chas. K. Feldman Group Productions
His Butler's Sister,1943-11-26,Universal Pictures
No Time for Love,1999-09-19,Paramount Pictures
Thirty Seconds Over Tokyo,1944-11-15,Metro-Goldwyn-Mayer
The Uninvited,1944-02-10,"Paramount Pictures, Inc."
The White Cliffs of Dover,1944-05-11,Metro-Goldwyn-Mayer
Days of Glory,1944-06-08,RKO Radio Pictures
Secret Command,1944-07-30,Torneen Productions
The Story of Dr. Wassell,1944-04-26,Paramount Pictures
Annie Hall,1977-03-27,A Jack Rollins and Charles H. Joffe Production
The Goodbye Girl,1977-11-30,Metro-Goldwyn-Mayer (uncredited) Rastar
Julia,1977-10-02,20th Century Fox
Star Wars,1977-05-25,Lucasfilm Ltd.
The Turning Point,1977-11-14,Hera Productions
Close Encountersof the Third Kind,1977-11-16,Columbia Pictures
Close Encountersof the Third Kind,1977-11-16,EMI Films
Equus,1977-10-14,Winkast Film Productions
A Special Day,1977-05-17,Compagnia Cinematografica Champion Canafox Films
Saturday Night Fever,1977-12-16,Robert Stigwood Organization
The Late Show,1977-02-10,Lion's Gate Films
I Never Promised You a Rose Garden,1977-07-14,Palomar Pictures
I Never Promised You a Rose Garden,1977-07-14,Fadsin Cinema Associates
That Obscure Object of Desire,1977-08-17,Greenwich Film Productions Les Films Galaxie InCine
Iphigenia,1977-10-01,Greek Film Center
High Grass Circus,1999-09-19,National Film Board of Canada
"Agueda Martinez: Our People, Our Country",1999-09-19,Moctesuma Esparza Productions
First Edition,1999-09-19,D. L. Sage Productions for the A. S. Abell Company
"Of Time, Tombs and Treasures",1999-09-19,Exxon
The Absent-Minded Waiter,1977-07-13,Aspen Film Society
The Message,1976-07-29,Filmco International Productions Inc.
The Spy Who Loved Me,1977-07-07,Eon Productions
A Little Night Music,1977-09-30,Sascha-Verleih
A Little Night Music,1977-09-30,S&T-Film Berlin
Pete's Dragon,1977-11-03,Walt Disney Productions
The Slipper and the RoseThe Story of Cinderella,1976-03-24,David Paradine Productions
You Light Up My Life,1977-08-31,Mondial International
The Rescuers,1977-06-22,Walt Disney Productions
The Deep,1977-06-17,Casablanca FilmWorks
The Deep,1977-06-17,EMI Films
Sorcerer,1977-06-24,Film Properties International N.V.
Airport '77,1977-03-11,Universal Pictures
The Other Side of Midnight,1977-06-08,Frank Yablans Presentations
Smokey and the Bandit,1977-05-19,Rastar
The Deer Hunter,1978-12-08,EMI
Coming Home,1978-02-15,Jerome Hellman Productions Jayne Productions Inc.
Midnight Express,1978-05-18,Casablanca FilmWorks
Interiors,1978-08-02,Jack Rollins–Charles H. Joffe Productions
The Boys from Brazil,1978-10-06,ITC Films Producer Circle
Autumn Sonata,1978-10-08,ITC Entertainment
"Same Time, Next Year",1978-11-22,The Mirisch Company
California Suite,1978-12-22,Rastar
The Glass Cell,1978-04-06,Bayerischer Rundfunk Roxy Film Solaris Film
Hungarians,1978-02-08,Mafilm
White Bim Black Ear,1977-09-15,Gorky Film Studio
Scared Straight!,1978-11-02,Golden West Television
Mysterious Castles of Clay,1999-09-19,Survival Anglia
With Babies and Banners: Story of the Women's Emergency Brigade,1999-09-19,Women's Labor History Film Project
Squires of San Quentin,1999-09-19,J. Gary Mitchell Film Company
Special Delivery,1978-11-06,National Film Board of Canada
Superman,1978-12-10,Dovemead Ltd.
Superman,1978-12-10,International Film Production
The Wiz,1978-10-24,Motown Productions
Thank God It's Friday,1978-05-19,Casablanca FilmWorks
Thank God It's Friday,1978-05-19,Motown Productions
Grease,1978-06-16,Allan Carr Enterprises
Grease,1978-06-16,Stigwood Group
The Magic of Lassie,1978-08-02,Lassie Productions
Death on the Nile,1978-09-29,Mersham Productions
Death on the Nile,1978-09-29,EMI Films
Caravans,1978-11-02,FIDCI
Kramer vs. Kramer,1979-12-19,Stanley Jaffe Productions
All That Jazz,1979-12-20,20th Century-Fox Columbia Pictures
Apocalypse Now,1979-05-19,Omni Zoetrope
La Cage aux Folles,1978-10-20,Les Productions Artistes Associés
La Cage aux Folles,1978-10-20,Da.Ma. Produzione
The China Syndrome,1979-03-16,IPC Films
The China Syndrome,1979-03-16,Major Studio Partners
Being There,1979-12-19,Lorimar Productions
Chapter Two,1979-12-14,Rastar
The Black Stallion,1979-10-17,American Zoetrope
A Little Romance,1979-04-27,Orion Pictures
The Tin Drum,1979-05-03,Franz Seitz Filmproduktion
The Tin Drum,1979-05-03,Bioskop Film
The Tin Drum,1979-05-03,Argos Films
The Tin Drum,1979-05-03,Jadran Film
A Simple Story,1978-11-22,France 3 Cinéma Renn Productions Rialto Film Sara Films Société Française de Production
Going the Distance,1979-05-23,National Film Board of Canada
The War at Home,1999-09-19,Catalyst Films Wisconsin Educational Television Network
Dae,1999-09-19,Vardar Film
Koryo Celadon,1999-09-19,Korean Film Unit
Bravery in the Field,1999-09-19,National Film Board of Canada
Every Child,1999-09-19,National Film Board of Canada
10,1979-10-05,Orion Pictures
The Amityville Horror,1979-07-24,Cinema 77
The Amityville Horror,1979-07-24,"Professional Films, Inc."
The Champ,1979-04-04,Metro-Goldwyn-Mayer
Star Trek: The Motion Picture,1979-12-07,Paramount Pictures
The Muppet Movie,1979-05-31,ITC Entertainment
The Muppet Movie,1979-05-31,Henson Associates
1941,1979-12-13,A-Team Productions
The Electric Horseman,1979-12-21,Universal Pictures
The Electric Horseman,1979-12-21,Columbia Pictures
The Electric Horseman,1979-12-21,Wildwood Enterprises
The Electric Horseman,1979-12-21,Rastar Films
Meteor,1979-10-19,Meteor Joint Venture Palladium Productions Shaw Brothers
Agatha,1979-02-09,Casablanca FilmWorks
Agatha,1979-02-09,First Artists
Butch and Sundance: The Early Days,1979-06-15,Pantheon William Goldman
The Europeans,1999-09-19,Merchant Ivory Productions
Alien,1979-05-25,20th Century-Fox
Alien,1979-05-25,Brandywine Productions
The Black Hole,1979-12-18,Walt Disney Productions
Moonraker,1979-06-26,Eon Productions Les Productions Artistes Associés
Ordinary People,1980-09-19,"Wildwood Enterprises, Inc"
The Elephant Man,1980-10-03,Brooksfilms
Raging Bull,1980-11-14,"Chartoff-Winkler Productions, Inc."
Tess,1979-10-31,Renn Productions Timothy Burrill Productions SFP
The Stunt Man,1980-06-27,Melvin Simon Productions
The Great Santini,1979-10-26,Orion Pictures Bing Crosby Productions
Tribute,1980-12-15,Tiberius Films The Turman-Foster Company
Gloria,1980-10-01,Columbia Pictures
Inside Moves,1980-12-19,Goodmark Productions
Fame,1980-05-12,Metro-Goldwyn-Mayer
Breaker Morant,1980-03-15,South Australian Film Corporation
Breaker Morant,1980-03-15,Australian Film Commission
Breaker Morant,1980-03-15,The Seven Network
Breaker Morant,1980-03-15,Pact Productions
Moscow Does Not Believe In Tears,1980-02-11,Mosfilm
Kagemusha,1980-04-26,Kurosawa Production
Kagemusha,1980-04-26,Toho
The Last Metro,1980-09-17,Les Films du Carrosse Andrea Films SEDIF SFP TF1 Films Production
From Mao to Mozart: Isaac Stern in China,1999-09-19,Hopewell Foundation
Agee,1980-11-14,James Agee Film Project
The Day After Trinity,1981-01-20,KTEH
Karl Hess: Toward Liberty,1999-09-19,Boston University College of Communication
Don't Mess with Bill,1999-09-19,Insight Productions
The Eruption of Mount St. Helens!,1999-09-19,Graphic Films
It's the Same World,1999-09-19,Dick Young Productions
Luther Metke at 94,1999-09-19,UCLA Ethnographic Film Program
All Nothing,1999-09-19,Société Radio-Canada
History of the World in Three Minutes Flat,1999-09-19,Michael Mills Productions
Altered States,1980-12-25,Warner Bros.
The Empire Strikes Back,1980-05-06,Lucasfilm Ltd.
9 to 5,1980-12-19,IPC Films
Honeysuckle Rose,1980-07-18,Major Studio Partners
The Competition,1980-12-03,Rastar Films
My Brilliant Career,1979-08-17,The New South Wales Film Corporation Margaret Fink Productions
Somewhere in Time,1980-10-03,Rastar
The Blue Lagoon,1980-06-20,Columbia Pictures
The Formula,1980-12-19,Metro-Goldwyn-Mayer CIP Filmproduktion
Chariots of Fire,1981-03-30,Allied Stars Ltd
Chariots of Fire,1981-03-30,Enigma Productions
Atlantic City,1980-09-03,Selta Films ICC Cine-Neighbor Famous Players Ltd. Canadian Film Development Corporation
On Golden Pond,1981-12-04,IPC Films ITC Films
Raiders of the Lost Ark,1981-06-12,Lucasfilm Ltd.
Reds,1981-12-04,Barclays Mercantile Industrial Finance
Reds,1981-12-04,JRS Productions
Arthur,1981-07-17,Orion Pictures
Absence of Malice,1981-12-18,Mirage Enterprises
Only When I Laugh,1981-09-23,Rastar
Pennies from Heaven,1981-12-11,Metro-Goldwyn-Mayer
Prince of the City,1981-08-21,Orion Pictures
Mephisto,1981-02-11,Mafilm Objektív Film Manfred Durniok Filmproduktion Hessischer Rundfunk ORF
Mephisto,1981-02-11,Mafilm
Mephisto,1981-02-11,Objektív Film
Mephisto,1981-02-11,Manfred Durniok Filmproduktion
Mephisto,1981-02-11,Hessischer Rundfunk
Mephisto,1981-02-11,ORF
Three Brothers,1981-05-15,Iter Film Gaumont
Genocide,1999-09-19,Moriah Films
Brooklyn Bridge,1981-11-08,Florentine Films WETA-TV WNET
Journey for Survival,1999-09-19,Dick Young Productions
See What I Say,1999-09-19,Michigan Women Filmmakers
Violet,1999-09-19,Center for Advanced Film Studies
First Winter,1999-09-19,National Film Board of Canada
Crac,1999-09-19,Canadian Broadcasting Corporation
The Tender Tale ofCinderella Penguin,1999-09-19,National Film Board of Canada
Dragonslayer,1981-06-26,Paramount Pictures
Dragonslayer,1981-06-26,Walt Disney Productions
Endless Love,1981-07-17,PolyGram Pictures
The Great Muppet Caper,1981-06-26,ITC Entertainment
The Great Muppet Caper,1981-06-26,Henson Associates
For Your Eyes Only,1981-06-24,Eon Productions
Outland,1981-05-22,The Ladd Company
An American Werewolf in London,1981-08-21,PolyGram Pictures
An American Werewolf in London,1981-08-21,Lycanthrope Films Limited
Heaven's Gate,1980-11-19,Partisan Productions
Excalibur,1981-04-10,Orion Pictures Cinema ‘84
The Big Chill,1983-09-28,Carson Productions
The Dresser,1983-12-06,Goldcrest Films
The Right Stuff,1983-10-16,The Ladd Company
Tender Mercies,1983-03-04,EMI Films
Tender Mercies,1983-03-04,Antron Media
Fanny and Alexander,1982-12-17,Cinematograph
Fanny and Alexander,1982-12-17,Sveriges Television
Fanny and Alexander,1982-12-17,Gaumont International
Fanny and Alexander,1982-12-17,Personafilm
Fanny and Alexander,1982-12-17,Tobis Film
Fanny and Alexander,1982-12-17,Swedish Film Institute
Silkwood,1983-12-14,ABC Motion Pictures
Educating Rita,1983-05-03,Acorn Pictures
"Reuben, Reuben",1983-12-19,Saltair Productions TAFT Entertainment Pictures
Testament,1983-11-04,Entertainment Events American Playhouse
To Be or Not to Be,1983-12-16,Brooksfilms
Cross Creek,1999-09-19,Thorn EMI Films
The Year of Living Dangerously,1982-12-16,Metro-Goldwyn-Mayer
The Year of Living Dangerously,1982-12-16,Freddie Fields Productions
The Year of Living Dangerously,1982-12-16,McElroy and McElroy
Yentl,1983-11-18,United Artists
Yentl,1983-11-18,Barwood Films
Yentl,1983-11-18,Ladbroke Entertainment
WarGames,1983-05-07,United Artists
WarGames,1983-05-07,Sherwood Productions
Betrayal,1983-02-19,Horizon Pictures
Le Bal,1983-12-21,Cinéproduction Films A2 Massfilm O.N.C.I.C. Ministère de la Culture de la Republique Française
Carmen,1983-05-06,Televisión Española
He Makes Me Feel Like Dancin',1999-09-19,Edgar J. Scherick Associates
First Contact,1983-12-07,Arundel Productions
In the Nuclear Shadow: What Can the Children Tell Us?,1999-09-19,Impact Productions
Sewing Woman,1999-09-19,DeepFocus Productions
Spaces: The Architecture of Paul Rudolph,1999-09-19,Eisenhardt Productions
Boys and Girls,1999-09-19,Atlantis Films
Sundae in New York,1999-09-19,Motionpicker Productions
Mickey's Christmas Carol,1983-12-16,Walt Disney Productions
Return of the Jedi,1983-05-25,Lucasfilm Ltd.
The Sting II,1983-02-18,Universal Studios
Flashdance,1983-04-15,PolyGram Pictures
Never Cry Wolf,1983-10-07,Walt Disney Pictures Amarok Productions Ltd.
Heart Like a Wheel,1983-04-01,Aurora Productions
Zelig,1983-07-15,Orion Pictures
Blue Thunder,1983-02-05,Rastar
Amadeus,1984-09-06,The Saul Zaentz Company
The Killing Fields,1984-11-02,Goldcrest Films
The Killing Fields,1984-11-02,International Film Investors
The Killing Fields,1984-11-02,Enigma Productions
A Passage to India,1984-12-14,"Thorn EMI Screen Entertainment Home Box Office, Inc."
Places in the Heart,1984-09-21,Delphi II Productions
A Soldier's Story,1984-09-14,Columbia Pictures
Starman,1984-12-14,Industrial Light & Magic
Starman,1984-12-14,Delphi II Productions
Country,1984-09-28,Touchstone Films
Country,1984-09-28,Far West Productions
Country,1984-09-28,Pangaea Corporation
The Bostonians,1984-08-02,Merchant Ivory Productions
The Karate Kid,1984-06-22,Delphi II Productions Jerry Weintraub Productions
The Natural,1984-05-11,Delphi II Productions
The Pope of Greenwich Village,1984-06-22,United Artists
Beverly Hills Cop,1984-12-01,Paramount Pictures
Beverly Hills Cop,1984-12-01,Don Simpson/Jerry Bruckheimer Films
Beverly Hills Cop,1984-12-01,Eddie Murphy Productions
El Norte,1983-11-10,American Playhouse Independent Film Productions
Splash,1984-03-09,Touchstone Films
Wartime Romance(Военно-полевой роман),1999-09-19,Odessa Film Studio
High Schools,1999-09-19,Guggenheim Productions
Marlene,1984-01-13,Bayerischer Rundfunk
Marlene,1984-01-13,OKO-Film
The Stone Carvers,1999-09-19,Paul Wagner Productions
The Children of Soong Ching Ling,1999-09-19,Gary Bush Productions UNICEF Soong Ching Ling Children's Foundation of Canada
Code Gray: Ethical Dilemmas in Nursing,1999-09-19,Fanlight Productions
The Garden of Eden,1999-09-19,Florentine Films
Recollections of Pavlovsk,1999-09-19,Lendoc
Charade,1984-04-10,Sheridan College
Paradise,1999-09-19,National Film Board of Canada
Indiana Jones and the Temple of Doom,1984-05-08,Lucasfilm Ltd.
Purple Rain,1984-07-27,Purple Films
The Muppets Take Manhattan,1984-07-13,Henson Associates Delphi II Productions
The Woman in Red,1984-08-15,Woman in Red Productions
Against All Odds,1984-03-02,New Visions Columbia-Delphi Productions
Footloose,1984-02-17,IndieProd
Ghostbusters,1984-06-08,Columbia-Delphi Productions
Ghostbusters,1984-06-08,Black Rhino
2010: The Year We Make Contact,1984-12-07,Metro-Goldwyn-Mayer
Dune,1984-12-03,Dino De Laurentiis Corporation
The Cotton Club,1984-12-14,Totally Independent Productions American Zoetrope Producers Sales Organization
Romancing the Stone,1984-03-30,El Corazon Producciones S.A.
Out of Africa,1985-12-18,Mirage Enterprises
The Color Purple,1985-12-18,Amblin Entertainment
The Color Purple,1985-12-18,The Guber-Peters Company
Kiss of the Spider Woman,1985-05-13,FilmDallas Pictures
Kiss of the Spider Woman,1985-05-13,Sugarloaf Films
Kiss of the Spider Woman,1985-05-13,HB Filmes
Prizzi's Honor,1985-06-14,ABC Motion Pictures
Witness,1985-02-08,Edward S. Feldman Productions
Ran,1985-05-31,Herald Ace
Ran,1985-05-31,Nippon Herald Films
Ran,1985-05-31,Greenwich Film Productions
Murphy's Romance,1985-12-25,Fogwood Films
Runaway Train,1985-12-06,Northbrook Films Golan-Globus Productions
The Trip to Bountiful,1985-12-20,Bountiful Film Partners FilmDallas Pictures
Sweet Dreams,1985-10-04,HBO Pictures Silver Screen Partners
Cocoon,1985-06-21,Zanuck/Brown Company
Back to the Future,1985-07-03,Amblin Entertainment
Brazil,1985-02-20,Embassy International Pictures
Brazil,1985-02-20,Brazil Productions
The Official Story,1985-04-03,Historias Cinematograficas Cinemania Progress Communications
Angry Harvest,1985-02-20,CCC Film
Colonel Redl,1985-02-20,Jadran Film MAFILM Objektív Filmstúdió
When Father Was Away on Business,1985-01-15,Centar Film Forum Sarajevo
Soldiers in Hiding,1999-09-19,"Filmworks, Inc."
Witness to War: Dr. Charlie Clements,1999-09-19,Skylight Pictures
The Courage to Care,1999-09-19,"United Way Productions, Mutual of America"
Keats and His Nightingale: A Blind Date,1999-09-19,Rhode Island Council for the Humanities
Making Overtures: The Story of a Community Orchestra,1999-09-19,Rhombus Media
The Wizard of the Strings,1999-09-19,Strange Attractions
Silverado,1985-07-10,Delphi III Productions
White Nights,1985-11-08,Delphi IV Productions
A Chorus Line,1985-12-09,Embassy Films Associates
A Chorus Line,1985-12-09,PolyGram Pictures
Ladyhawke,1985-04-12,Warner Bros.
Ladyhawke,1985-04-12,20th Century Fox
Ladyhawke,1985-04-12,Lauren Shuler Production
Rambo: First Blood Part II,1985-05-22,Carolco Pictures
