title,releasedate,budget,boxOffice,runtime,movieLanguage
My Left Foot,1989-02-24,"£600,000",$14.7 million,103,English
Cinema Paradiso,1988-11-17,US$5 million,$36 million,155,Italian
Camille Claudel,1988-12-07,,$23.7 million,175,French
Jesus of Montreal,1989-05-17,$4.2 million,C$ 3 million,118,French
Waltzing Regitze,1989-11-17,,,87,Danish
Lo que le pasó a Santiago,1989-11,"US$500,000",,105,Puerto
Common Threads: Stories from the Quilt,1989,,,79,English
Adam Clayton Powell,1989,,,54,English
Crack USA: County Under Siege,1989,,,42,English
For All Mankind,1989-11-01,,,80,English
Super Chief: The Life and Legacy of Earl Warren,1989,,,88,English
The Johnstown Flood,1989,,,26,English
"Fine Food, Fine Pastries, Open 6 to 9",1989,,,29,English
Yad Vashem: Preserving the Past to Ensure the Future,1989,,,,English
Work Experience,1989,,,11,English
Balance,1989,,,7,
The Little Mermaid,1989-11-17,$40 million,$235 million,83,English
Born on the Fourth of July,1989-12-20,$17.8 million,$162 million,145,English
The Fabulous Baker Boys,1989-10-13,$11.5 million,$18.4 million,114,English
Field of Dreams,1989-05-05,$15 million,$84.4 million,106,English
Indiana Jones and the Last Crusade,1989-05-24,$48 million,$474.2 million,128,English
The Little Mermaid,1989-11-17,$40 million,$235 million,83,English
Chances Are,1989-03-10,$16 million,$16.3 million,108,English
Shirley Valentine,1989-08-24,,$38 million,108,English
Parenthood,1989-08-02,$20 million,$126 million,124,English
The Little Mermaid,1989-11-17,$40 million,$235 million,83,English
Indiana Jones and the Last Crusade,1989-05-24,$48 million,$474.2 million,128,English
Black Rain,1989-09-22,$30 million,$134.2 million,125,English
Lethal Weapon 2,1989-07-07,$30 million,$227.9 million,114,English
Glory,1989-12-15,$18 million,$27 million,122,English
The Abyss,1989-08-09,$43–47 million,$90 million,140,English
Black Rain,1989-09-22,$30 million,$134.2 million,125,English
Born on the Fourth of July,1989-12-20,$17.8 million,$162 million,145,English
Indiana Jones and the Last Crusade,1989-05-24,$48 million,$474.2 million,128,English
Batman,1989-06-19,$48 million,$411.6 million,126,English
The Abyss,1989-08-09,$43–47 million,$90 million,140,English
The Adventures of Baron Munchausen,1988-12-08,$46.6 million,$8.1 million,126,English
Driving Miss Daisy,1989-12-15,$7.5 million,$145.8 million,99,English
Glory,1989-12-15,$18 million,$27 million,122,English
Glory,1989-12-15,$18 million,$27 million,122,English
The Abyss,1989-08-09,$43–47 million,$90 million,140,English
Blaze,1989-12-13,$22 million,"$19,131,246",117,English
Born on the Fourth of July,1989-12-20,$17.8 million,$162 million,145,English
The Fabulous Baker Boys,1989-10-13,$11.5 million,$18.4 million,114,English
Driving Miss Daisy,1989-12-15,$7.5 million,$145.8 million,99,English
The Adventures of Baron Munchausen,1988-12-08,$46.6 million,$8.1 million,126,English
Dad,1989-10-27,$19 million,$27 million,117,English
Henry V,1989-10-06,$9 million,$10.2 million,137,English
The Adventures of Baron Munchausen,1988-12-08,$46.6 million,$8.1 million,126,English
Driving Miss Daisy,1989-12-15,$7.5 million,$145.8 million,99,English
Harlem Nights,1989-11-17,$30 million,$60.9 million,116,English
Valmont,1989-11-17,"$33,000,000 (estimated)","$1,132,112",137,English
Born on the Fourth of July,1989-12-20,$17.8 million,$162 million,145,English
The Bear,1988-10-19,120 million Franc ($20 million),"$31,7 million  $100+ million",94,English
Driving Miss Daisy,1989-12-15,$7.5 million,$145.8 million,99,English
The Fabulous Baker Boys,1989-10-13,$11.5 million,$18.4 million,114,English
Glory,1989-12-15,$18 million,$27 million,122,English
The Abyss,1989-08-09,$43–47 million,$90 million,140,English
The Adventures of Baron Munchausen,1988-12-08,$46.6 million,$8.1 million,126,English
Back to the Future Part II,1989-11-22,$40 million,$332.5 million,108,English
Dances With Wolves,1990-10-19,$22 million,$424.2 million,181,English
Awakenings,1990-12-22,$29 million,$108.7 million,121,English
Ghost,1990-07-13,$22–23 million,$505.7 million,127,English
The Godfather Part III,1990-12-20,$54 million,$136.9 million,162,English
GoodFellas,1990-09-09,$25 million,$47.1 million,146,English
Dances With Wolves,1990-10-19,$22 million,$424.2 million,181,English
The Godfather Part III,1990-12-20,$54 million,$136.9 million,162,English
GoodFellas,1990-09-09,$25 million,$47.1 million,146,English
The Grifters,1990-12-07,,$13.4 million,110,English
Reversal of Fortune,1990-09-12,,$15.4 million,111,English
Reversal of Fortune,1990-09-12,,$15.4 million,111,English
Dances With Wolves,1990-10-19,$22 million,$424.2 million,181,English
Awakenings,1990-12-22,$29 million,$108.7 million,121,English
Cyrano de Bergerac,1990-03-28,$15.3 million,$41.3 million,137,French
The Field,1990-09-21,IR£5 million,IR£1.6 million,107,English
Misery,1990-11-30,$18–20 million,$61.3 million,107,English
The Grifters,1990-12-07,,$13.4 million,110,English
Pretty Woman,1990-03-23,$14 million,$463.4 million,119,English
Postcards from the Edge,1990-09-14,$22 million,$63.4 million,101,English
Mr. & Mrs. Bridge,1990-11-23,$7.2 million,$7.7 million,126,English
GoodFellas,1990-09-09,$25 million,$47.1 million,146,English
Longtime Companion,1989-10-11,$3 million,"$4,609,953",100,English
The Godfather Part III,1990-12-20,$54 million,$136.9 million,162,English
Dances With Wolves,1990-10-19,$22 million,$424.2 million,181,English
Dick Tracy,1990-06-14,$46 million,$162.7 million,105,English
Ghost,1990-07-13,$22–23 million,$505.7 million,127,English
The Grifters,1990-12-07,,$13.4 million,110,English
GoodFellas,1990-09-09,$25 million,$47.1 million,146,English
Wild at Heart,1990-05-19,$10 million,$14.6 million,124,English
Dances With Wolves,1990-10-19,$22 million,$424.2 million,181,English
Ghost,1990-07-13,$22–23 million,$505.7 million,127,English
Alice,1990-12-25,$12 million,$7.3 million,106,English
Avalon,1990-10-05,$20 million,$15.7 million,126,English
Green Card,1990-12-23,$12.5 million,$38 million,107,English
Metropolitan,1990-01-20,"$225,000",$7 million,98,English
Dances With Wolves,1990-10-19,$22 million,$424.2 million,181,English
Awakenings,1990-12-22,$29 million,$108.7 million,121,English
GoodFellas,1990-09-09,$25 million,$47.1 million,146,English
The Grifters,1990-12-07,,$13.4 million,110,English
Reversal of Fortune,1990-09-12,,$15.4 million,111,English
Journey of Hope,1990-8,,,110,Turkish
Cyrano de Bergerac,1990-03-28,$15.3 million,$41.3 million,137,French
Ju Dou,,,,95,
Das schreckliche Mädchen(The Nasty Girl),1990-02-15,,,94,German
Porte aperte,1990-03-29,,"$252,000",108,Italian
American Dream,1990-10-06,"$500,000 (estimated)","$269,823",100,English
Berkeley in the Sixties,1990-09-26,,,118,English
Building Bombs,1989-09-09,,,54,English
Forever Activists,1990,,,60,English
Waldo Salt: A Screenwriter's Journey,1990,,,,English
Days of Waiting,1991,,,28,English
Burning Down Tomorrow,1990,,,10,English
Chimps: So Like Us,1990,,,,English
Journey into Life: The World of the Unborn,1990,,,25,English
Rose Kennedy: A Life to Remember,1990,,,,English
The Lunch Date,1989-12,,,10,English
12:01 PM,1990,,,25,English
Dear Rosie,1991-03-15,,,11,English
Creature Comforts,,,,,
A Grand Day Out,1989-11-04,"£11,000",,23,English
Grasshoppers (Cavallette),1990-03-06,,,9,Italian
Dances With Wolves,1990-10-19,$22 million,$424.2 million,181,English
Avalon,1990-10-05,$20 million,$15.7 million,126,English
Ghost,1990-07-13,$22–23 million,$505.7 million,127,English
Havana,1990-12-12,$40 million,$9.6 million,144,English
Home Alone,1990-11-10,$18 million,$476.7 million,103,English
Dick Tracy,1990-06-14,$46 million,$162.7 million,105,English
Young Guns II,1990-08-01,,$59 million,104,English
Postcards from the Edge,1990-09-14,$22 million,$63.4 million,101,English
The Godfather Part III,1990-12-20,$54 million,$136.9 million,162,English
Home Alone,1990-11-10,$18 million,$476.7 million,103,English
Dances With Wolves,1990-10-19,$22 million,$424.2 million,181,English
Days of Thunder,1990-06-27,$60 million,$157.9 million,108,English
Dick Tracy,1990-06-14,$46 million,$162.7 million,105,English
The Hunt for Red October,1990-03-02,$30 million,$200.5 million,135,English
Total Recall,1990-06-01,$48–80 million,$261.4 million,113,English
The Hunt for Red October,1990-03-02,$30 million,$200.5 million,135,English
Flatliners,1990-08-10,$26 million,$61.5 million,114,English
Total Recall,1990-06-01,$48–80 million,$261.4 million,113,English
Dick Tracy,1990-06-14,$46 million,$162.7 million,105,English
Cyrano de Bergerac,1990-03-28,$15.3 million,$41.3 million,137,French
Dances With Wolves,1990-10-19,$22 million,$424.2 million,181,English
The Godfather Part III,1990-12-20,$54 million,$136.9 million,162,English
Hamlet,1990-12-19,£12.6 million,$22.3 million,134,English
Dick Tracy,1990-06-14,$46 million,$162.7 million,105,English
Cyrano de Bergerac,1990-03-28,$15.3 million,$41.3 million,137,French
Edward Scissorhands,1990-12-06,$20 million,$86 million,105,English
Cyrano de Bergerac,1990-03-28,$15.3 million,$41.3 million,137,French
Avalon,1990-10-05,$20 million,$15.7 million,126,English
Dances With Wolves,1990-10-19,$22 million,$424.2 million,181,English
Dick Tracy,1990-06-14,$46 million,$162.7 million,105,English
Hamlet,1990-12-19,£12.6 million,$22.3 million,134,English
Dances With Wolves,1990-10-19,$22 million,$424.2 million,181,English
Avalon,1990-10-05,$20 million,$15.7 million,126,English
Dick Tracy,1990-06-14,$46 million,$162.7 million,105,English
The Godfather Part III,1990-12-20,$54 million,$136.9 million,162,English
Henry & June,1990-09-14,,$11.5 million,136,English
Dances With Wolves,1990-10-19,$22 million,$424.2 million,181,English
Ghost,1990-07-13,$22–23 million,$505.7 million,127,English
The Godfather Part III,1990-12-20,$54 million,$136.9 million,162,English
GoodFellas,1990-09-09,$25 million,$47.1 million,146,English
The Hunt for Red October,1990-03-02,$30 million,$200.5 million,135,English
The Silence of the Lambs,1991-01-30,$19 million,$272.7 million,118,English
Beauty and the Beast,1991-09-29,$25 million,$451.2 million,84,English
Bugsy,1991-12-10,$30 million,$49.1 million,137,English
JFK,1991-12-20,$40 million,$205.4 million,188,English
The Prince of Tides,1991-12-25,$30 million,$135 million,132,English
The Silence of the Lambs,1991-01-30,$19 million,$272.7 million,118,English
Boyz n the Hood,1991-07-02,$5.7–6.5 million,$57.5 million,112,English
Bugsy,1991-12-10,$30 million,$49.1 million,137,English
JFK,1991-12-20,$40 million,$205.4 million,188,English
Thelma & Louise,1991-05-20,$16.5 million,$45.4 million,129,English
The Silence of the Lambs,1991-01-30,$19 million,$272.7 million,118,English
Bugsy,1991-12-10,$30 million,$49.1 million,137,English
Cape Fear,1991-11-13,$35 million,$182.3 million,128,English
The Prince of Tides,1991-12-25,$30 million,$135 million,132,English
The Fisher King,1991-09-20,$24 million,$72.4 million,137,English
The Silence of the Lambs,1991-01-30,$19 million,$272.7 million,118,English
Thelma & Louise,1991-05-20,$16.5 million,$45.4 million,129,English
Rambling Rose,1991-09-20,$7.5 million,$6.3 million,112,English
For the Boys,1991-11-22,$40 million,$23.2 million,138,English
City Slickers,1991-06-07,$26 million,$179 million,114,English
JFK,1991-12-20,$40 million,$205.4 million,188,English
Bugsy,1991-12-10,$30 million,$49.1 million,137,English
Barton Fink,1991-05-18,$9 million,$6.2 million,116,English
The Fisher King,1991-09-20,$24 million,$72.4 million,137,English
Rambling Rose,1991-09-20,$7.5 million,$6.3 million,112,English
Cape Fear,1991-11-13,$35 million,$182.3 million,128,English
The Prince of Tides,1991-12-25,$30 million,$135 million,132,English
Fried Green Tomatoes,1991-12-27,$11 million,$119.4 million,130,English
Thelma & Louise,1991-05-20,$16.5 million,$45.4 million,129,English
Boyz n the Hood,1991-07-02,$5.7–6.5 million,$57.5 million,112,English
Bugsy,1991-12-10,$30 million,$49.1 million,137,English
The Fisher King,1991-09-20,$24 million,$72.4 million,137,English
Grand Canyon,1991-12-25,,"$40,991,329",137,English
The Silence of the Lambs,1991-01-30,$19 million,$272.7 million,118,English
Europa Europa,1990-11-14,,"$5,575,738",112,German
Fried Green Tomatoes,1991-12-27,$11 million,$119.4 million,130,English
JFK,1991-12-20,$40 million,$205.4 million,188,English
The Prince of Tides,1991-12-25,$30 million,$135 million,132,English
Mediterraneo,1991-01-31,,$4.5 million,96,Italian
Children of Nature,1991-08-01,,,82,Icelandic
The Elementary School,1991-08-01,,13 million KČs,100,Czech
The Ox,1992-11-22,,,92,Swedish
Raise the Red Lantern,1991-09-10,$1 million,$2.6 million  $3 million+ 、$2 million+  $11 million+,125,Mandarin
In the Shadow of the Stars,1991-08-14,,,93,English
Death on the Job,1991,,,,English
Doing Time: Life Inside the Big House,1991-02-12,,,60,English
The Restless Conscience: Resistance to Hitler Within Germany 1933–1945,1992,,,113,English
Wild by Law,1991,,,,English
"Deadly Deception: General Electric, Nuclear Weapons and Our Environment",1991,,,27,English
Birdnesters of Thailand,1991,,,26,French
A Little Vicious,1991-05-22,,,30,English
The Mark of the Maker,1991,,,,English
Memorial: Letters from American Soldiers,1991,,,,English
Session Man,1991,,,31,English
Manipulation,1991,,,7,English
Blackfly,1991,,,5,English
Beauty and the Beast,1991-09-29,$25 million,$451.2 million,84,English
Bugsy,1991-12-10,$30 million,$49.1 million,137,English
The Fisher King,1991-09-20,$24 million,$72.4 million,137,English
JFK,1991-12-20,$40 million,$205.4 million,188,English
The Prince of Tides,1991-12-25,$30 million,$135 million,132,English
Beauty and the Beast,1991-09-29,$25 million,$451.2 million,84,English
Beauty and the Beast,1991-09-29,$25 million,$451.2 million,84,English
Beauty and the Beast,1991-09-29,$25 million,$451.2 million,84,English
Robin Hood: Prince of Thieves,1991-06-14,$48–60 million,$390.5 million,143,English
Hook,1991-12-11,$70 million,$300.9 million,142,English
Terminator 2: Judgment Day,1991-07-01,$94–102 million,$519–520.9 million,137,English
Backdraft,1991-05-24,$40 million,$152.4 million,137,English
Beauty and the Beast,1991-09-29,$25 million,$451.2 million,84,English
JFK,1991-12-20,$40 million,$205.4 million,188,English
The Silence of the Lambs,1991-01-30,$19 million,$272.7 million,118,English
Terminator 2: Judgment Day,1991-07-01,$94–102 million,$519–520.9 million,137,English
Backdraft,1991-05-24,$40 million,$152.4 million,137,English
Star Trek VI:The Undiscovered Country,1991-12-06,$30 million,$96.8 million,110,English
Bugsy,1991-12-10,$30 million,$49.1 million,137,English
Barton Fink,1991-05-18,$9 million,$6.2 million,116,English
The Fisher King,1991-09-20,$24 million,$72.4 million,137,English
Hook,1991-12-11,$70 million,$300.9 million,142,English
The Prince of Tides,1991-12-25,$30 million,$135 million,132,English
Terminator 2: Judgment Day,1991-07-01,$94–102 million,$519–520.9 million,137,English
Hook,1991-12-11,$70 million,$300.9 million,142,English
Star Trek VI:The Undiscovered Country,1991-12-06,$30 million,$96.8 million,110,English
Bugsy,1991-12-10,$30 million,$49.1 million,137,English
The Addams Family,1991-11-22,$30 million,$191.5 million,99,English
Barton Fink,1991-05-18,$9 million,$6.2 million,116,English
Hook,1991-12-11,$70 million,$300.9 million,142,English
Madame Bovary,1991-04-03,,,143,French
JFK,1991-12-20,$40 million,$205.4 million,188,English
Bugsy,1991-12-10,$30 million,$49.1 million,137,English
The Prince of Tides,1991-12-25,$30 million,$135 million,132,English
Terminator 2: Judgment Day,1991-07-01,$94–102 million,$519–520.9 million,137,English
Thelma & Louise,1991-05-20,$16.5 million,$45.4 million,129,English
JFK,1991-12-20,$40 million,$205.4 million,188,English
The Commitments,1991-08-06,$12–15 million or £5.41 million,$14.9 million,118,English
The Silence of the Lambs,1991-01-30,$19 million,$272.7 million,118,English
Terminator 2: Judgment Day,1991-07-01,$94–102 million,$519–520.9 million,137,English
Thelma & Louise,1991-05-20,$16.5 million,$45.4 million,129,English
Terminator 2: Judgment Day,1991-07-01,$94–102 million,$519–520.9 million,137,English
Backdraft,1991-05-24,$40 million,$152.4 million,137,English
Hook,1991-12-11,$70 million,$300.9 million,142,English
Unforgiven,1992-08-03,$14.4 million,$159.2 million,131,English
The Crying Game,1992-09-02,£ 2.3 million,$71 million,111,English
A Few Good Men,1992-12-09,$33–40 million,$243.2 million,138,English
Howards End,1992-02-27,$8 million,$32 million,142,English
Scent of a Woman,1992-12-23,$31 million,$134.1 million,156,English
Unforgiven,1992-08-03,$14.4 million,$159.2 million,131,English
The Crying Game,1992-09-02,£ 2.3 million,$71 million,111,English
Howards End,1992-02-27,$8 million,$32 million,142,English
The Player,1992-04-03,$8 million,$28.9 million,124,English
Scent of a Woman,1992-12-23,$31 million,$134.1 million,156,English
Scent of a Woman,1992-12-23,$31 million,$134.1 million,156,English
Chaplin,1992-12-17,$31 million,$12 million,145,English
Unforgiven,1992-08-03,$14.4 million,$159.2 million,131,English
The Crying Game,1992-09-02,£ 2.3 million,$71 million,111,English
Malcolm X,1992-11-18,$35 million,$73 million,202,English
Howards End,1992-02-27,$8 million,$32 million,142,English
Indochine,1992-04-15,,$29.6 million,159,French
Passion Fish,1992-12-09,$5 million,$4 million,135,English
Love Field,1992-12-11,,$1 million,102,English
Lorenzo's Oil,1992-12-30,$30 million,$7.2 million,125,English
Unforgiven,1992-08-03,$14.4 million,$159.2 million,131,English
The Crying Game,1992-09-02,£ 2.3 million,$71 million,111,English
A Few Good Men,1992-12-09,$33–40 million,$243.2 million,138,English
Glengarry Glen Ross,1992-10-02,$12.5 million,$10.7 million,100,English
Mr. Saturday Night,1992-09-23,$43 million,$23 million,119,English
My Cousin Vinny,1992-03-13,$11 million,$64.1 million,119,English
Husbands and Wives,1992-09-14,$20 million (estimate),$10.6 million,108,English
Enchanted April,1991-11-06,,$13.2 million,95,English
Howards End,1992-02-27,$8 million,$32 million,142,English
Damage,1992-12-09,,$31 million,111,English
The Crying Game,1992-09-02,£ 2.3 million,$71 million,111,English
Husbands and Wives,1992-09-14,$20 million (estimate),$10.6 million,108,English
Lorenzo's Oil,1992-12-30,$30 million,$7.2 million,125,English
Passion Fish,1992-12-09,$5 million,$4 million,135,English
Unforgiven,1992-08-03,$14.4 million,$159.2 million,131,English
Howards End,1992-02-27,$8 million,$32 million,142,English
Enchanted April,1991-11-06,,$13.2 million,95,English
The Player,1992-04-03,$8 million,$28.9 million,124,English
A River Runs Through It,1992-09-11,$12 million,$66 million,123,English
Scent of a Woman,1992-12-23,$31 million,$134.1 million,156,English
Indochine,1992-04-15,,$29.6 million,159,French
UrgaClose to Eden,1991,,,118,Mongolian
Daens,1992-9,,$0.49 million,138,Dutch
Schtonk!,1992,,1.9 million admissions,115,German
A Place in the World,1992-04-09,,,120,Spanish
The Panama Deception,1992-07-31,,,91,English
Changing Our Minds: The Story of Dr. Evelyn Hooker,1992,,,77,English
Fires of Kuwait,1992,,,36,English
The Liberators: Fighting on Two Fronts in World War II,1992-11-11,,,90,English
Music for the Movies: Bernard Herrmann,1992,,,,English
Educating Peter,1992-12-15,,,30,English
At the Edge of Conquest: The Journey of Chief Wai-Wai,1992,,,,English
Beyond Imagining: Margaret Anderson and the 'Little Review',1992,,,30,English
The Colours of My Father: A Portrait of Sam Borenstein,1992,,,29,English
When Abortion Is Illegal: Untold Stories,1992,,,28,English
Omnibus,1992-5,,,8,French
Contact,1992-07-23,,,30,English
Swan Song,1992-01,,,23,English
Mona Lisa Descending a Staircase,1992,,,7,English
Adam,1992-04-09,,,6,English
Aladdin,1992-11-11,$28 million,$504.1 million,90,English
Basic Instinct,1992-03-18,$49 million,$352.9 million,128,English
Chaplin,1992-12-17,$31 million,$12 million,145,English
Howards End,1992-02-27,$8 million,$32 million,142,English
A River Runs Through It,1992-09-11,$12 million,$66 million,123,English
Aladdin,1992-11-11,$28 million,$504.1 million,90,English
Aladdin,1992-11-11,$28 million,$504.1 million,90,English
The Bodyguard,1992-11-23,$25 million,$411 million,129,English
The Bodyguard,1992-11-23,$25 million,$411 million,129,English
The Mambo Kings,1992-02-07,$15.5 million,$6.7 million,104,English
Bram Stoker's Dracula,1992-11-13,$40 million,$215.9 million,128,English
Aladdin,1992-11-11,$28 million,$504.1 million,90,English
Under Siege,1992-10-09,$30 million,$156.6 million,103,English
The Last of the Mohicans,1992-08-26,$40 million,$143 million,112,English
Aladdin,1992-11-11,$28 million,$504.1 million,90,English
A Few Good Men,1992-12-09,$33–40 million,$243.2 million,138,English
Under Siege,1992-10-09,$30 million,$156.6 million,103,English
Unforgiven,1992-08-03,$14.4 million,$159.2 million,131,English
Howards End,1992-02-27,$8 million,$32 million,142,English
Bram Stoker's Dracula,1992-11-13,$40 million,$215.9 million,128,English
Chaplin,1992-12-17,$31 million,$12 million,145,English
Toys,1992-12-18,$50 million,$23.3 million,122,English
Unforgiven,1992-08-03,$14.4 million,$159.2 million,131,English
A River Runs Through It,1992-09-11,$12 million,$66 million,123,English
Hoffa,1992-12-25,$35 million,$29.3 million,140,English
Howards End,1992-02-27,$8 million,$32 million,142,English
The Lover,1992-01-22,US$30 million,US$31.8 million,115,English
Unforgiven,1992-08-03,$14.4 million,$159.2 million,131,English
Bram Stoker's Dracula,1992-11-13,$40 million,$215.9 million,128,English
Batman Returns,1992-06-16,$50–80 million,$266.8 million,126,English
Hoffa,1992-12-25,$35 million,$29.3 million,140,English
Bram Stoker's Dracula,1992-11-13,$40 million,$215.9 million,128,English
Enchanted April,1991-11-06,,$13.2 million,95,English
Howards End,1992-02-27,$8 million,$32 million,142,English
Malcolm X,1992-11-18,$35 million,$73 million,202,English
Toys,1992-12-18,$50 million,$23.3 million,122,English
Unforgiven,1992-08-03,$14.4 million,$159.2 million,131,English
Basic Instinct,1992-03-18,$49 million,$352.9 million,128,English
The Crying Game,1992-09-02,£ 2.3 million,$71 million,111,English
A Few Good Men,1992-12-09,$33–40 million,$243.2 million,138,English
The Player,1992-04-03,$8 million,$28.9 million,124,English
Death Becomes Her,1992-07-31,$55 million,$149 million,104,English
Alien 3,1992-05-22,$50–60 million,$160–180 million,114,English
Batman Returns,1992-06-16,$50–80 million,$266.8 million,126,English
Schindler's List,1993-11-30,$22 million,$322.2 million,195,English
The Fugitive,1993-07-29,$44 million,$368.9 million,130,English
In the Name of the Father,1993-12-27,$13 million,$65.8 million,133,English
The Piano,1993-05-15,US$7 million,US$140 million,117,English
The Remains of the Day,1993-10-25,$15 million,$63.9 million,134,English
Schindler's List,1993-11-30,$22 million,$322.2 million,195,English
In the Name of the Father,1993-12-27,$13 million,$65.8 million,133,English
The Piano,1993-05-15,US$7 million,US$140 million,117,English
The Remains of the Day,1993-10-25,$15 million,$63.9 million,134,English
Short Cuts,1993-10-03,$12 million,$6.1 million,188,English
Philadelphia,1993-12-14,$26 million,$206.7 million,126,English
In the Name of the Father,1993-12-27,$13 million,$65.8 million,133,English
What's Love Got to Do with It,1993-06-06,$15 million,$61 million,118,English
The Remains of the Day,1993-10-25,$15 million,$63.9 million,134,English
Schindler's List,1993-11-30,$22 million,$322.2 million,195,English
The Piano,1993-05-15,US$7 million,US$140 million,117,English
What's Love Got to Do with It,1993-06-06,$15 million,$61 million,118,English
Six Degrees of Separation,1993-12-08,$15 million,$6.4 million,112,English
The Remains of the Day,1993-10-25,$15 million,$63.9 million,134,English
Shadowlands,1993-12-25,$22 million,$52 million,131,English
The Fugitive,1993-07-29,$44 million,$368.9 million,130,English
What's Eating Gilbert Grape,1993-12-17,$11 million,$10 million,118,English
Schindler's List,1993-11-30,$22 million,$322.2 million,195,English
In the Line of Fire,1993-07-09,$40 million,$187 million,128,English
In the Name of the Father,1993-12-27,$13 million,$65.8 million,133,English
The Piano,1993-05-15,US$7 million,US$140 million,117,English
The Firm,1993-06-30,$42 million,$270.2 million,154,English
Fearless,1993-10-15,$20 million,$7 million,122,English
The Age of Innocence,1993-09-17,$34 million,$68 million,139,English
In the Name of the Father,1993-12-27,$13 million,$65.8 million,133,English
The Piano,1993-05-15,US$7 million,US$140 million,117,English
Dave,1993-05-07,$28 million,$92 million,110,English
In the Line of Fire,1993-07-09,$40 million,$187 million,128,English
Philadelphia,1993-12-14,$26 million,$206.7 million,126,English
Sleepless in Seattle,1993-06-25,$21 million,$227.9 million,105,English
Schindler's List,1993-11-30,$22 million,$322.2 million,195,English
The Age of Innocence,1993-09-17,$34 million,$68 million,139,English
In the Name of the Father,1993-12-27,$13 million,$65.8 million,133,English
The Remains of the Day,1993-10-25,$15 million,$63.9 million,134,English
Shadowlands,1993-12-25,$22 million,$52 million,131,English
Belle Époque,1992-12-04,,$11 million,109,Spanish
Farewell My Concubine,1993-01-01,$4 million,Over $30 million,171,Mandarin
Hedd Wyn,,,,123,Welsh
The Scent of Green Papaya,1993-06-08,,"$1,700,992",104,Vietnamese
The Wedding Banquet,1993-02,$1 million,$23.6 million,106,Mandarin
I Am a Promise,1993,,,88,English
The Broadcast Tapes of Dr. Peter,1993-07-01,,,45,English
Children of Fate: Life and Death in a Sicilian Family,1993,,,85,English
For Better or For Worse,1993,,,57,English
The War Room,1993-12-05,,"$901,668",96,English
Defending Our Lives,1993,,,30,English
Blood Ties: The Life and Work of Sally Mann,1994-1,,,30,English
Chicks in White Satin,1993,,,25,English
Schwarzfahrer,1993-02-11,,,12,German
The Wrong Trousers,1993-12-26,"£650,000",,29,English
The Mighty River,1993-6,,,24,English
The Village,1993-05,,,15,English
Schindler's List,1993-11-30,$22 million,$322.2 million,195,English
The Age of Innocence,1993-09-17,$34 million,$68 million,139,English
The Firm,1993-06-30,$42 million,$270.2 million,154,English
The Fugitive,1993-07-29,$44 million,$368.9 million,130,English
The Remains of the Day,1993-10-25,$15 million,$63.9 million,134,English
Philadelphia,1993-12-14,$26 million,$206.7 million,126,English
Poetic Justice,1993-07-23,$14 million,$27.5 million,109,English
Beethoven's 2nd,1993-12-17,$15 million,$118.2 million,89,English
Philadelphia,1993-12-14,$26 million,$206.7 million,126,English
Sleepless in Seattle,1993-06-25,$21 million,$227.9 million,105,English
Jurassic Park,1993-06-09,$63 million,$1.058 billion,127,English
Cliffhanger,1993-05-20,$70 million,$255 million,113,English
The Fugitive,1993-07-29,$44 million,$368.9 million,130,English
Geronimo: An American Legend,1993-12-10,$35 million,$18.6 million,115,English
Schindler's List,1993-11-30,$22 million,$322.2 million,195,English
Jurassic Park,1993-06-09,$63 million,$1.058 billion,127,English
Cliffhanger,1993-05-20,$70 million,$255 million,113,English
The Fugitive,1993-07-29,$44 million,$368.9 million,130,English
Schindler's List,1993-11-30,$22 million,$322.2 million,195,English
Addams Family Values,1993-11-19,$47 million,$111 million,94,English
The Age of Innocence,1993-09-17,$34 million,$68 million,139,English
Orlando,1992-09-01,$4 million,$13 million,93,English
The Remains of the Day,1993-10-25,$15 million,$63.9 million,134,English
Mrs. Doubtfire,1993-11-24,$25 million,$441.3 million,120,English
Philadelphia,1993-12-14,$26 million,$206.7 million,126,English
Schindler's List,1993-11-30,$22 million,$322.2 million,195,English
The Age of Innocence,1993-09-17,$34 million,$68 million,139,English
Orlando,1992-09-01,$4 million,$13 million,93,English
The Piano,1993-05-15,US$7 million,US$140 million,117,English
The Remains of the Day,1993-10-25,$15 million,$63.9 million,134,English
Schindler's List,1993-11-30,$22 million,$322.2 million,195,English
Schindler's List,1993-11-30,$22 million,$322.2 million,195,English
Farewell My Concubine,1993-01-01,$4 million,Over $30 million,171,Mandarin
The Fugitive,1993-07-29,$44 million,$368.9 million,130,English
The Piano,1993-05-15,US$7 million,US$140 million,117,English
Searching for Bobby Fischer,1993-08-11,$12 million,"$7,266,383",109,English
Schindler's List,1993-11-30,$22 million,$322.2 million,195,English
The Fugitive,1993-07-29,$44 million,$368.9 million,130,English
In the Name of the Father,1993-12-27,$13 million,$65.8 million,133,English
In the Line of Fire,1993-07-09,$40 million,$187 million,128,English
The Piano,1993-05-15,US$7 million,US$140 million,117,English
Jurassic Park,1993-06-09,$63 million,$1.058 billion,127,English
Cliffhanger,1993-05-20,$70 million,$255 million,113,English
The Nightmare Before Christmas,1993-10-09,$18 million,$107.8 million,76,English
Forrest Gump,1994-06-23,$55 million,$678.2 million,142,English
Four Weddings and a Funeral,1994-01-20,£3 million ($4.4 million ),£218.5 milion,117,English
